Animal ID,Outcome Date,Outcome Type,Age upon Outcomes(years)
A800873,2019-08-06,Transfer,0.0
A734403,2016-10-22,Adoption or RTO,0.0
A778716,2018-11-24,Adoption or RTO,0.0
A806621,2019-10-22,Transfer,0.0
A775399,2018-07-07,Adoption or RTO,0.0
A796408,2019-06-08,Died or Missing,0.0
A778694,2018-08-19,Transfer,0.0
A724744,2016-04-23,Euthanasia,6.0
A735996,2016-10-02,Transfer,0.0
A738584,2016-12-04,Adoption or RTO,0.0
A731663,2016-09-14,Adoption or RTO,0.0
A701472,2015-04-30,Transfer,0.0
A723585,2016-09-30,Adoption or RTO,0.0
A701643,2015-09-28,Transfer,0.0
A713974,2015-10-16,Transfer,0.0
A679572,2014-06-19,Adoption or RTO,0.0
A729694,2016-07-09,Adoption or RTO,0.0
A671534,2014-03-31,Adoption or RTO,1.0
A681352,2014-07-12,Adoption or RTO,0.0
A669986,2014-02-24,Died or Missing,13.0
A731189,2016-07-19,Transfer,0.0
A710363,2015-08-30,Adoption or RTO,0.0
A712384,2015-10-01,Transfer,0.0
A817585,2020-07-25,Adoption or RTO,0.0
A800666,2019-08-04,Transfer,0.0
A781349,2018-10-01,Adoption or RTO,0.0
A666819,2013-12-22,Transfer,0.0
A683440,2014-07-12,Transfer,0.0
A801453,2019-08-11,Transfer,0.0
A684115,2014-08-11,Transfer,3.0
A733559,2016-10-02,Adoption or RTO,0.0
A710402,2020-01-05,Transfer,4.0
A701174,2015-04-24,Transfer,0.0
A774277,2018-07-13,Transfer,0.0
A797709,2019-06-23,Adoption or RTO,0.0
A817442,2020-05-20,Died or Missing,3.0
A753792,2017-07-11,Euthanasia,8.0
A694255,2014-12-29,Adoption or RTO,0.0
A825520,2020-12-19,Adoption or RTO,0.0
A749224,2017-05-16,Adoption or RTO,0.0
A725558,2017-01-17,Adoption or RTO,3.0
A799013,2019-07-08,Transfer,3.0
A729013,2016-06-29,Adoption or RTO,0.0
A688941,2014-09-27,Transfer,0.0
A748109,2017-05-10,Transfer,1.0
