Animal ID,Outcome Date,Outcome Type,Age upon Outcomes(years)
A725429,2016-06-29,Adoption or RTO,0.0
A812084,2020-01-20,Transfer,3.0
A821555,2020-12-17,Adoption or RTO,0.0
A802579,2019-09-29,Adoption or RTO,1.0
A686542,2014-08-30,Adoption or RTO,0.0
A793611,2019-04-27,Transfer,0.0
A682483,2014-08-01,Adoption or RTO,0.0
A679675,2014-06-14,Transfer,3.0
A797118,2019-11-19,Adoption or RTO,0.0
A700994,2015-07-24,Adoption or RTO,0.0
A761166,2017-11-05,Adoption or RTO,10.0
A752196,2017-06-21,Transfer,2.0
A806645,2019-10-17,Transfer,2.0
A813229,2020-02-13,Adoption or RTO,3.0
A791659,2019-06-08,Adoption or RTO,0.0
A781649,2018-10-07,Transfer,0.0
A732785,2016-08-14,Transfer,1.0
A782882,2018-12-02,Adoption or RTO,10.0
A728127,2016-07-09,Adoption or RTO,0.0
A749798,2017-06-25,Adoption or RTO,0.0
A752258,2017-06-27,Adoption or RTO,0.0
A757807,2017-11-15,Adoption or RTO,0.0
A662278,2013-11-04,Adoption or RTO,0.0
A714050,2015-10-23,Transfer,0.0
A695944,2015-01-26,Euthanasia,4.0
A681264,2014-06-14,Transfer,0.0
A735378,2016-09-26,Transfer,0.0
A748171,2017-08-15,Adoption or RTO,5.0
A712593,2015-09-25,Transfer,0.0
A733166,2016-08-18,Transfer,0.0
A667277,2013-12-24,Transfer,2.0
A777852,2018-08-18,Adoption or RTO,0.0
A823887,2020-11-14,Adoption or RTO,1.0
A728013,2016-06-06,Transfer,3.0
A711397,2015-09-06,Euthanasia,0.0
A798013,2019-06-24,Adoption or RTO,0.0
A821605,2020-08-24,Adoption or RTO,2.0
A797059,2019-06-12,Transfer,0.0
A819069,2020-08-14,Adoption or RTO,0.0
A758799,2017-09-23,Adoption or RTO,5.0
A665666,2013-12-27,Transfer,1.0
A751422,2017-06-15,Euthanasia,0.0
A711961,2015-09-14,Transfer,0.0
A770476,2018-04-24,Transfer,0.0
A739822,2016-12-07,Transfer,0.0
A680608,2014-06-04,Euthanasia,0.0
A717485,2015-12-12,Transfer,0.0
A723545,2016-06-06,Adoption or RTO,2.0
A686444,2014-08-22,Transfer,0.0
A788907,2019-02-15,Transfer,7.0
A687085,2014-10-10,Transfer,0.0
A793816,2019-06-22,Adoption or RTO,0.0
A791943,2019-05-23,Transfer,2.0
A701189,2015-04-25,Euthanasia,3.0
A681268,2015-03-14,Adoption or RTO,2.0
A714479,2017-04-02,Adoption or RTO,1.0
A736800,2016-10-17,Transfer,0.0
A747663,2017-05-23,Adoption or RTO,0.0
A750935,2017-06-09,Transfer,0.0
A793886,2019-05-06,Transfer,1.0
A780780,2018-09-23,Transfer,2.0
A724729,2016-04-24,Adoption or RTO,14.0
A791281,2019-05-07,Adoption or RTO,0.0
A794460,2019-05-08,Adoption or RTO,0.0
A742081,2017-01-18,Adoption or RTO,0.0
A724655,2016-04-29,Adoption or RTO,2.0
A819023,2020-07-27,Adoption or RTO,0.0
A792309,2019-04-09,Transfer,0.0
A752146,2017-06-25,Euthanasia,0.0
A794979,2019-05-15,Transfer,0.0
A706294,2015-07-02,Transfer,0.0
A669006,2013-12-23,Transfer,1.0
A795858,2019-05-30,Adoption or RTO,0.0
A694472,2015-03-26,Adoption or RTO,0.0
A750609,2017-06-05,Adoption or RTO,0.0
A680812,2014-06-08,Euthanasia,0.0
A811281,2020-01-05,Adoption or RTO,0.0
A683233,2014-08-06,Transfer,1.0
A678259,2014-05-06,Transfer,0.0
A806174,2019-10-10,Adoption or RTO,0.0
A817727,2020-06-09,Adoption or RTO,0.0
A767414,2018-03-03,Adoption or RTO,3.0
A715616,2016-01-15,Adoption or RTO,0.0
A774329,2018-06-21,Transfer,0.0
A705204,2015-06-20,Adoption or RTO,0.0
A680409,2014-06-09,Transfer,0.0
A779129,2018-09-29,Adoption or RTO,0.0
A773520,2018-06-05,Transfer,1.0
A799936,2019-08-13,Transfer,0.0
A730585,2016-07-07,Transfer,0.0
A794112,2019-05-04,Transfer,0.0
A733541,2016-08-30,Adoption or RTO,1.0
A695796,2015-01-25,Transfer,0.0
A738312,2017-01-17,Adoption or RTO,0.0
A705660,2015-07-19,Adoption or RTO,0.0
A775519,2018-08-16,Adoption or RTO,0.0
A695053,2015-01-09,Transfer,3.0
A770948,2018-05-01,Adoption or RTO,2.0
A750917,2017-07-10,Transfer,0.0
A707870,2015-07-19,Transfer,0.0
A796289,2019-06-05,Transfer,2.0
A727932,2016-05-29,Transfer,1.0
A707358,2015-07-12,Transfer,0.0
A752957,2017-07-03,Adoption or RTO,0.0
A792366,2019-04-09,Transfer,0.0
A727435,2016-05-22,Transfer,0.0
A675423,2014-03-28,Transfer,0.0
A820637,2020-07-28,Transfer,0.0
A745395,2017-03-17,Transfer,0.0
A747611,2017-06-15,Adoption or RTO,0.0
A751713,2017-06-15,Euthanasia,0.0
A717171,2015-12-07,Adoption or RTO,0.0
A796369,2019-06-04,Transfer,0.0
A598754,2016-08-30,Adoption or RTO,5.0
A740468,2016-12-18,Transfer,0.0
A774293,2018-11-19,Adoption or RTO,0.0
A821566,2020-10-24,Adoption or RTO,0.0
A798454,2019-08-24,Adoption or RTO,0.0
A687257,2014-09-18,Transfer,6.0
A685021,2014-08-09,Transfer,0.0
A747200,2017-06-30,Adoption or RTO,0.0
A795891,2019-06-03,Adoption or RTO,0.0
A700988,2015-04-22,Transfer,0.0
A730325,2016-07-03,Transfer,0.0
A798451,2019-07-03,Adoption or RTO,0.0
A825477,2020-12-23,Adoption or RTO,0.0
A738501,2016-11-17,Transfer,0.0
A754072,2017-07-29,Adoption or RTO,0.0
A770018,2018-04-22,Died or Missing,0.0
A700892,2015-04-21,Transfer,0.0
A689469,2014-10-05,Transfer,1.0
A729321,2016-07-03,Adoption or RTO,0.0
A799273,2019-07-06,Transfer,0.0
A699806,2015-04-03,Transfer,2.0
A710834,2015-09-04,Adoption or RTO,0.0
A726396,2016-06-28,Adoption or RTO,11.0
A449968,2015-12-19,Adoption or RTO,10.0
A701039,2015-06-16,Adoption or RTO,0.0
A678698,2014-05-12,Transfer,0.0
A708091,2015-11-07,Adoption or RTO,1.0
A822663,2020-11-05,Adoption or RTO,0.0
A702108,2015-05-11,Adoption or RTO,0.0
A696328,2015-02-03,Transfer,1.0
A728152,2016-06-04,Adoption or RTO,0.0
A768941,2018-03-31,Transfer,2.0
A691106,2014-10-31,Euthanasia,0.0
A780203,2018-10-05,Adoption or RTO,0.0
A728483,2016-06-29,Transfer,2.0
A717273,2015-12-09,Transfer,2.0
A697066,2015-06-07,Adoption or RTO,8.0
A777623,2018-08-03,Transfer,0.0
A664218,2015-07-08,Transfer,2.0
A765505,2018-01-23,Adoption or RTO,0.0
A789528,2019-03-23,Adoption or RTO,0.0
A723466,2016-04-11,Transfer,3.0
A679093,2014-06-16,Transfer,5.0
A804588,2019-11-18,Adoption or RTO,0.0
A673672,2014-03-09,Adoption or RTO,5.0
A740383,2016-12-20,Adoption or RTO,1.0
A802499,2019-08-25,Adoption or RTO,1.0
A817331,2020-07-09,Adoption or RTO,0.0
A748907,2017-08-22,Adoption or RTO,0.0
A787527,2019-01-18,Transfer,2.0
A614238,2016-09-24,Transfer,5.0
A718759,2016-01-15,Transfer,3.0
A678991,2014-05-15,Transfer,0.0
A812850,2020-02-02,Transfer,2.0
A728942,2016-06-19,Adoption or RTO,0.0
A817729,2020-06-03,Adoption or RTO,0.0
A677559,2014-04-26,Transfer,0.0
A810991,2020-05-27,Adoption or RTO,1.0
A770831,2018-04-26,Euthanasia,1.0
A701835,2015-05-05,Transfer,0.0
A695396,2015-01-19,Adoption or RTO,3.0
A678028,2014-05-05,Transfer,0.0
A795008,2019-07-05,Adoption or RTO,4.0
A698594,2015-04-08,Transfer,2.0
A823384,2020-09-28,Adoption or RTO,0.0
A824458,2020-12-02,Adoption or RTO,0.0
A789395,2019-03-01,Adoption or RTO,2.0
A675492,2014-05-17,Adoption or RTO,0.0
A703233,2015-05-27,Euthanasia,4.0
A685190,2014-08-04,Transfer,0.0
A765745,2018-01-26,Died or Missing,2.0
A784144,2018-11-23,Adoption or RTO,0.0
A680230,2014-05-31,Transfer,0.0
A736547,2016-10-13,Transfer,1.0
A684559,2014-07-26,Transfer,0.0
A685149,2014-08-25,Adoption or RTO,0.0
A802043,2019-09-05,Adoption or RTO,0.0
A693287,2014-12-10,Adoption or RTO,0.0
A778177,2018-08-09,Transfer,0.0
A696843,2015-02-15,Adoption or RTO,20.0
A713215,2016-01-10,Adoption or RTO,0.0
A666071,2013-10-30,Transfer,0.0
A752714,2017-06-30,Transfer,1.0
A735385,2017-02-01,Transfer,1.0
A726000,2016-05-05,Transfer,0.0
A822415,2020-09-29,Adoption or RTO,0.0
A805863,2019-10-18,Transfer,0.0
A822081,2020-11-04,Adoption or RTO,0.0
A784047,2018-11-14,Transfer,0.0
A808302,2019-12-21,Transfer,0.0
A772498,2018-06-23,Adoption or RTO,0.0
A758429,2017-09-16,Transfer,0.0
A792940,2019-04-20,Transfer,1.0
A747413,2017-04-22,Adoption or RTO,0.0
A818487,2020-10-02,Transfer,0.0
A729454,2016-06-23,Transfer,0.0
A823094,2020-09-21,Adoption or RTO,0.0
A784887,2018-11-25,Transfer,1.0
A658800,2015-05-31,Transfer,1.0
A798327,2019-06-24,Transfer,0.0
A784698,2018-11-26,Adoption or RTO,0.0
A798822,2019-08-11,Transfer,0.0
A699289,2015-03-26,Transfer,3.0
A702971,2015-07-16,Adoption or RTO,0.0
A782209,2018-10-12,Transfer,0.0
A799624,2019-07-14,Transfer,0.0
A733295,2017-04-16,Adoption or RTO,0.0
A678614,2014-07-12,Adoption or RTO,0.0
A723073,2016-03-26,Transfer,0.0
A689408,2014-11-25,Adoption or RTO,0.0
A708273,2015-09-03,Adoption or RTO,5.0
A776109,2018-07-10,Transfer,0.0
A782910,2018-12-18,Adoption or RTO,0.0
A756245,2017-08-22,Adoption or RTO,0.0
A689969,2015-02-27,Adoption or RTO,0.0
A684372,2014-08-02,Adoption or RTO,0.0
A694541,2015-01-03,Adoption or RTO,1.0
A759514,2017-10-06,Adoption or RTO,0.0
A793593,2019-04-30,Transfer,0.0
A672867,2014-03-09,Adoption or RTO,1.0
A687928,2014-09-23,Transfer,0.0
A704363,2015-06-30,Adoption or RTO,0.0
A807553,2019-12-21,Transfer,0.0
A794834,2019-05-17,Transfer,0.0
A680696,2014-06-16,Transfer,0.0
A718785,2016-01-12,Adoption or RTO,0.0
A664612,2013-10-06,Transfer,2.0
A754417,2017-09-26,Adoption or RTO,0.0
A789141,2019-06-18,Adoption or RTO,1.0
A794870,2019-05-14,Transfer,1.0
A718012,2015-12-23,Transfer,0.0
A769831,2018-04-12,Transfer,0.0
A762029,2017-12-02,Adoption or RTO,0.0
A752153,2017-06-23,Transfer,1.0
A713581,2015-11-03,Transfer,0.0
A819008,2020-07-21,Adoption or RTO,0.0
A758550,2017-11-23,Adoption or RTO,0.0
A747825,2017-04-25,Transfer,0.0
A659889,2013-10-27,Adoption or RTO,0.0
A824370,2020-11-17,Adoption or RTO,0.0
A762174,2017-11-18,Transfer,1.0
A669076,2013-12-21,Adoption or RTO,0.0
A771400,2018-05-07,Adoption or RTO,1.0
A738828,2016-11-29,Transfer,0.0
A675233,2014-04-06,Adoption or RTO,4.0
A797713,2019-06-17,Euthanasia,0.0
A719854,2016-02-02,Transfer,0.0
A820366,2020-07-21,Transfer,0.0
A700510,2015-04-25,Adoption or RTO,4.0
A816933,2020-06-16,Adoption or RTO,3.0
A676868,2014-05-23,Adoption or RTO,0.0
A735057,2016-09-18,Transfer,1.0
A704929,2015-08-07,Adoption or RTO,0.0
A711924,2015-09-20,Adoption or RTO,1.0
A715205,2015-11-03,Transfer,7.0
A736803,2016-10-17,Transfer,0.0
A764604,2018-01-03,Euthanasia,0.0
A790479,2019-03-11,Euthanasia,10.0
A349996,2018-02-02,Transfer,13.0
A662437,2013-12-31,Adoption or RTO,0.0
A780683,2019-01-31,Adoption or RTO,6.0
A817992,2020-05-30,Died or Missing,0.0
A717293,2015-12-11,Transfer,0.0
A637358,2014-11-22,Adoption or RTO,2.0
A713890,2015-10-30,Adoption or RTO,0.0
A738489,2016-11-26,Adoption or RTO,0.0
A726410,2016-06-24,Adoption or RTO,0.0
A703066,2015-08-23,Adoption or RTO,0.0
A703194,2015-07-18,Adoption or RTO,0.0
A825217,2020-11-16,Adoption or RTO,1.0
A728565,2016-07-14,Adoption or RTO,5.0
A776942,2018-09-08,Adoption or RTO,0.0
A699162,2015-03-24,Transfer,1.0
A740010,2016-12-11,Transfer,2.0
A692625,2014-12-11,Adoption or RTO,0.0
A697746,2015-03-03,Transfer,1.0
A716881,2015-11-29,Adoption or RTO,0.0
A798155,2019-06-30,Transfer,0.0
A805870,2019-10-06,Transfer,0.0
A563632,2013-11-10,Adoption or RTO,4.0
A719940,2016-02-06,Transfer,1.0
A735774,2016-09-29,Transfer,0.0
A826125,2020-12-03,Transfer,0.0
A680749,2014-06-15,Transfer,0.0
A727472,2016-07-31,Adoption or RTO,0.0
A770587,2018-10-09,Adoption or RTO,1.0
A800222,2019-07-18,Transfer,0.0
A758119,2017-11-19,Adoption or RTO,0.0
A752918,2017-08-19,Adoption or RTO,0.0
A673883,2014-03-07,Transfer,0.0
A519763,2020-06-08,Adoption or RTO,11.0
A743450,2017-02-20,Adoption or RTO,18.0
A689478,2018-02-17,Adoption or RTO,4.0
A807936,2019-11-13,Adoption or RTO,1.0
A761393,2017-12-16,Adoption or RTO,0.0
A719152,2016-01-18,Adoption or RTO,0.0
A742853,2017-02-04,Adoption or RTO,1.0
A793844,2019-05-08,Adoption or RTO,0.0
A678753,2014-05-30,Transfer,0.0
A723992,2016-04-14,Adoption or RTO,0.0
A712998,2015-10-06,Adoption or RTO,0.0
A735670,2016-10-08,Adoption or RTO,0.0
A724358,2016-04-16,Transfer,0.0
A683870,2014-09-05,Adoption or RTO,0.0
A749465,2017-06-28,Adoption or RTO,0.0
A704183,2015-06-07,Transfer,0.0
A734345,2016-09-06,Transfer,0.0
A768415,2018-03-22,Transfer,0.0
A716691,2015-12-26,Adoption or RTO,2.0
A798496,2019-08-30,Transfer,0.0
A727972,2016-06-25,Adoption or RTO,0.0
A713006,2015-10-03,Transfer,0.0
A820035,2020-07-14,Transfer,0.0
A777434,2018-07-28,Transfer,0.0
A758068,2017-09-18,Adoption or RTO,0.0
A796707,2019-06-04,Transfer,0.0
A746694,2017-04-07,Transfer,0.0
A716703,2015-11-24,Transfer,0.0
A717012,2015-12-04,Transfer,0.0
A702226,2015-07-28,Adoption or RTO,0.0
A724938,2016-04-23,Transfer,0.0
A773987,2018-06-17,Transfer,15.0
A678001,2014-05-07,Adoption or RTO,0.0
A747020,2017-05-12,Adoption or RTO,0.0
A697255,2015-12-09,Adoption or RTO,2.0
A739730,2017-01-29,Adoption or RTO,2.0
A734610,2016-09-26,Adoption or RTO,1.0
A781047,2018-09-24,Transfer,0.0
A770956,2018-04-27,Euthanasia,5.0
A772581,2018-06-06,Adoption or RTO,0.0
A677346,2014-04-23,Transfer,0.0
A706298,2019-07-20,Adoption or RTO,5.0
A777776,2018-09-08,Adoption or RTO,1.0
A806561,2019-11-29,Adoption or RTO,3.0
A715371,2016-01-09,Adoption or RTO,0.0
A774532,2018-06-16,Transfer,0.0
A730721,2016-08-17,Transfer,1.0
A764022,2017-12-24,Transfer,0.0
A742554,2017-02-01,Transfer,0.0
A691723,2014-11-08,Transfer,0.0
A700341,2015-04-12,Transfer,0.0
A692994,2014-11-30,Adoption or RTO,4.0
A726793,2016-05-14,Transfer,0.0
A695770,2015-01-23,Adoption or RTO,0.0
A680623,2014-06-05,Euthanasia,12.0
A818326,2020-12-19,Adoption or RTO,0.0
A687774,2014-10-25,Adoption or RTO,0.0
A790372,2019-03-20,Adoption or RTO,8.0
A753743,2017-07-11,Euthanasia,0.0
A763056,2017-12-09,Adoption or RTO,0.0
A680130,2014-06-24,Adoption or RTO,3.0
A733654,2016-09-26,Transfer,0.0
A787564,2019-01-18,Adoption or RTO,0.0
A708011,2015-07-24,Transfer,0.0
A661832,2013-11-16,Adoption or RTO,0.0
A805895,2020-02-25,Adoption or RTO,0.0
A667984,2013-11-26,Transfer,0.0
A823206,2020-11-20,Adoption or RTO,0.0
A824539,2020-10-23,Transfer,2.0
A753407,2017-07-06,Transfer,0.0
A792335,2019-04-09,Transfer,0.0
A746444,2017-04-03,Euthanasia,1.0
A770288,2018-06-05,Adoption or RTO,0.0
A682753,2014-07-17,Transfer,0.0
A772525,2018-07-09,Adoption or RTO,1.0
A809997,2020-01-09,Adoption or RTO,0.0
A748763,2017-06-13,Transfer,0.0
A669159,2013-12-22,Adoption or RTO,0.0
A801462,2019-09-04,Transfer,0.0
A737276,2016-10-29,Adoption or RTO,2.0
A746438,2017-04-03,Euthanasia,3.0
A769059,2018-03-30,Transfer,0.0
A709441,2015-09-05,Adoption or RTO,1.0
A676758,2014-04-18,Transfer,1.0
A683875,2014-07-16,Transfer,0.0
A814364,2020-03-02,Adoption or RTO,13.0
A674927,2014-04-15,Died or Missing,1.0
A820002,2020-07-13,Transfer,0.0
A703909,2015-06-08,Transfer,0.0
A690814,2014-11-30,Adoption or RTO,0.0
A824910,2020-12-07,Adoption or RTO,0.0
A707959,2015-07-21,Transfer,0.0
A755469,2017-08-19,Adoption or RTO,0.0
A695724,2015-01-25,Adoption or RTO,4.0
A782327,2018-10-15,Transfer,0.0
A804209,2019-09-14,Adoption or RTO,0.0
A796582,2019-06-07,Transfer,2.0
A690873,2014-11-07,Transfer,4.0
A746314,2017-09-18,Adoption or RTO,13.0
A792178,2019-04-07,Transfer,0.0
A686831,2014-08-27,Transfer,0.0
A726743,2016-07-09,Adoption or RTO,0.0
A743758,2017-02-21,Transfer,1.0
A664723,2013-10-08,Euthanasia,7.0
A706984,2015-07-20,Transfer,0.0
A776427,2018-09-01,Adoption or RTO,0.0
A764410,2017-12-29,Adoption or RTO,10.0
A720052,2016-02-27,Adoption or RTO,0.0
A719981,2016-02-09,Transfer,2.0
A791597,2019-03-31,Adoption or RTO,2.0
A795990,2019-05-27,Transfer,0.0
A770267,2018-04-20,Transfer,0.0
A752434,2017-08-04,Adoption or RTO,0.0
A763574,2017-12-12,Adoption or RTO,0.0
A755003,2017-08-06,Adoption or RTO,3.0
A662762,2013-10-08,Adoption or RTO,0.0
A819525,2020-08-02,Adoption or RTO,1.0
A736090,2016-11-26,Transfer,6.0
A753715,2017-08-01,Adoption or RTO,0.0
A799417,2019-08-15,Adoption or RTO,2.0
A691711,2014-11-09,Transfer,0.0
A743256,2017-02-07,Euthanasia,2.0
A723135,2016-04-29,Adoption or RTO,0.0
A801212,2019-08-01,Transfer,0.0
A824640,2020-11-28,Adoption or RTO,0.0
A678784,2014-07-13,Adoption or RTO,0.0
A679102,2014-06-10,Transfer,2.0
A734595,2016-09-10,Transfer,0.0
A731372,2016-08-29,Transfer,0.0
A788924,2019-02-11,Euthanasia,0.0
A793415,2019-04-29,Adoption or RTO,2.0
A791125,2019-04-01,Adoption or RTO,10.0
A735510,2016-09-28,Adoption or RTO,0.0
A758936,2017-10-08,Adoption or RTO,0.0
A807367,2019-10-31,Transfer,0.0
A702321,2015-05-13,Euthanasia,12.0
A783681,2018-11-11,Adoption or RTO,0.0
A809983,2020-04-05,Adoption or RTO,7.0
A825060,2020-11-10,Adoption or RTO,0.0
A767119,2018-02-27,Transfer,2.0
A826938,2020-12-14,Transfer,0.0
A807964,2019-12-04,Adoption or RTO,0.0
A678522,2014-06-22,Adoption or RTO,0.0
A688453,2014-11-14,Adoption or RTO,0.0
A709138,2015-09-22,Adoption or RTO,0.0
A799639,2019-08-04,Adoption or RTO,4.0
A740626,2016-12-27,Adoption or RTO,8.0
A690241,2014-10-16,Transfer,0.0
A783109,2018-12-18,Adoption or RTO,0.0
A804504,2019-10-13,Adoption or RTO,0.0
A727953,2016-07-09,Adoption or RTO,2.0
A789941,2019-03-04,Adoption or RTO,0.0
A718000,2016-08-07,Adoption or RTO,0.0
A774471,2018-10-06,Adoption or RTO,0.0
A804117,2019-09-11,Transfer,0.0
A742356,2017-01-26,Transfer,1.0
A776572,2018-09-03,Transfer,2.0
A806360,2019-10-29,Adoption or RTO,3.0
A735105,2016-09-18,Transfer,0.0
A814920,2020-03-13,Adoption or RTO,0.0
A775443,2018-07-14,Died or Missing,1.0
A813109,2020-10-08,Adoption or RTO,5.0
A690079,2014-10-17,Transfer,0.0
A815159,2020-03-12,Euthanasia,1.0
A775150,2018-07-20,Transfer,0.0
A734744,2016-09-12,Transfer,0.0
A721541,2016-04-11,Transfer,5.0
A797439,2019-06-13,Transfer,0.0
A771262,2018-06-23,Adoption or RTO,0.0
A752471,2017-06-22,Euthanasia,0.0
A703993,2015-05-31,Transfer,0.0
A730075,2016-06-28,Transfer,0.0
A688089,2014-09-19,Transfer,0.0
A800328,2019-07-23,Transfer,1.0
A674923,2014-03-21,Adoption or RTO,0.0
A718546,2016-02-04,Adoption or RTO,0.0
A699915,2015-04-22,Transfer,2.0
A743457,2017-02-21,Adoption or RTO,0.0
A684171,2014-08-22,Adoption or RTO,0.0
A726922,2016-05-23,Transfer,2.0
A801135,2019-07-31,Transfer,0.0
A790682,2019-03-19,Transfer,0.0
A801085,2019-07-31,Died or Missing,2.0
A735673,2016-09-28,Transfer,0.0
A710113,2015-08-21,Adoption or RTO,10.0
A723790,2016-05-24,Adoption or RTO,0.0
A705459,2015-07-14,Adoption or RTO,2.0
A716320,2015-12-20,Adoption or RTO,0.0
A769240,2018-04-02,Transfer,0.0
A731378,2016-08-10,Adoption or RTO,0.0
A666098,2013-10-27,Adoption or RTO,2.0
A759828,2017-10-13,Transfer,1.0
A768284,2018-03-20,Adoption or RTO,0.0
A689110,2014-09-30,Transfer,2.0
A691174,2014-12-01,Adoption or RTO,0.0
A774921,2018-06-22,Transfer,0.0
A685095,2014-08-10,Adoption or RTO,0.0
A734422,2016-09-12,Transfer,0.0
A708858,2015-08-01,Transfer,0.0
A697090,2015-02-18,Transfer,0.0
A736630,2016-10-18,Adoption or RTO,0.0
A687029,2014-08-30,Transfer,0.0
A810001,2019-12-21,Adoption or RTO,0.0
A761892,2017-11-12,Adoption or RTO,2.0
A797006,2019-09-10,Transfer,0.0
A763825,2017-12-20,Adoption or RTO,0.0
A795872,2019-06-30,Adoption or RTO,1.0
A665127,2013-10-14,Transfer,0.0
A778688,2018-08-19,Transfer,0.0
A824472,2020-11-15,Adoption or RTO,0.0
A761162,2017-10-30,Euthanasia,0.0
A780663,2018-10-04,Transfer,0.0
A804200,2019-09-11,Transfer,0.0
A673935,2014-03-05,Euthanasia,2.0
A796052,2019-05-29,Adoption or RTO,2.0
A792783,2019-05-30,Adoption or RTO,0.0
A443875,2019-04-16,Adoption or RTO,13.0
A812594,2020-01-30,Adoption or RTO,4.0
A759465,2017-11-19,Adoption or RTO,0.0
A739227,2016-11-30,Transfer,1.0
A739427,2017-01-06,Adoption or RTO,3.0
A769058,2018-03-29,Transfer,0.0
A703366,2015-07-25,Adoption or RTO,0.0
A722721,2016-03-29,Transfer,2.0
A667199,2013-11-22,Transfer,0.0
A755731,2017-08-17,Adoption or RTO,0.0
A739495,2016-12-03,Transfer,0.0
A668298,2013-12-06,Transfer,12.0
A701837,2015-05-05,Died or Missing,0.0
A666308,2013-11-04,Transfer,1.0
A664268,2013-11-04,Adoption or RTO,3.0
A759346,2017-10-21,Transfer,0.0
A708567,2015-08-02,Transfer,0.0
A699545,2015-03-30,Adoption or RTO,3.0
A681015,2014-06-15,Transfer,0.0
A665799,2013-11-01,Adoption or RTO,0.0
A711362,2015-11-11,Adoption or RTO,0.0
A777622,2018-09-13,Transfer,2.0
A778777,2018-08-24,Transfer,1.0
A708161,2015-08-11,Transfer,0.0
A708159,2015-07-27,Transfer,0.0
A745675,2017-03-31,Transfer,0.0
A705268,2015-06-16,Transfer,1.0
A801457,2019-08-26,Transfer,0.0
A682044,2014-07-26,Adoption or RTO,0.0
A679724,2014-06-01,Transfer,0.0
A751318,2017-06-11,Transfer,1.0
A700147,2015-06-07,Adoption or RTO,0.0
A751332,2017-08-03,Adoption or RTO,0.0
A722142,2016-03-20,Adoption or RTO,0.0
A752183,2017-08-12,Adoption or RTO,0.0
A745429,2017-03-22,Transfer,5.0
A702669,2015-05-16,Died or Missing,0.0
A676238,2014-04-06,Transfer,0.0
A715036,2015-10-31,Transfer,1.0
A766832,2018-03-17,Adoption or RTO,1.0
A729379,2016-08-11,Adoption or RTO,0.0
A754217,2017-07-17,Transfer,0.0
A716795,2015-11-29,Euthanasia,0.0
A638232,2014-01-30,Adoption or RTO,1.0
A722611,2016-03-23,Transfer,1.0
A476642,2014-10-17,Transfer,9.0
A641116,2017-03-08,Adoption or RTO,4.0
A769415,2018-04-04,Euthanasia,0.0
A727280,2016-07-21,Adoption or RTO,0.0
A762081,2017-11-20,Adoption or RTO,6.0
A750050,2017-07-01,Adoption or RTO,0.0
A798430,2019-08-29,Adoption or RTO,0.0
A794718,2019-09-11,Adoption or RTO,0.0
A701581,2015-05-01,Transfer,0.0
A712181,2015-09-19,Transfer,0.0
A802675,2020-02-22,Adoption or RTO,2.0
A734263,2016-09-04,Adoption or RTO,0.0
A769517,2018-04-09,Transfer,0.0
A705854,2015-06-29,Transfer,0.0
A701287,2015-04-27,Transfer,0.0
A680815,2014-06-13,Transfer,0.0
A806834,2019-11-29,Adoption or RTO,0.0
A698961,2015-06-02,Adoption or RTO,2.0
A819310,2020-07-01,Adoption or RTO,0.0
A747755,2017-05-02,Adoption or RTO,13.0
A735374,2016-09-23,Died or Missing,0.0
A680349,2014-06-30,Adoption or RTO,0.0
A815134,2020-07-31,Adoption or RTO,8.0
A695539,2015-01-18,Transfer,1.0
A772766,2018-05-27,Adoption or RTO,0.0
A746551,2017-04-05,Transfer,1.0
A771517,2018-05-07,Adoption or RTO,2.0
A695549,2015-01-23,Adoption or RTO,1.0
A725389,2016-05-02,Transfer,6.0
A747459,2017-04-20,Transfer,0.0
A683285,2014-07-12,Adoption or RTO,0.0
A671917,2014-02-15,Adoption or RTO,0.0
A720154,2016-02-09,Transfer,1.0
A734295,2016-09-10,Transfer,0.0
A716919,2015-12-19,Adoption or RTO,0.0
A666965,2013-11-11,Transfer,7.0
A688110,2014-10-29,Adoption or RTO,0.0
A735939,2016-10-26,Adoption or RTO,0.0
A736051,2016-10-03,Transfer,0.0
A779375,2018-09-16,Adoption or RTO,0.0
A792266,2019-04-08,Transfer,0.0
A747374,2017-08-21,Adoption or RTO,0.0
A746522,2017-04-04,Transfer,0.0
A726855,2016-07-01,Adoption or RTO,0.0
A680070,2014-07-13,Adoption or RTO,0.0
A670251,2014-01-05,Transfer,0.0
A700463,2015-05-19,Adoption or RTO,0.0
A823169,2020-10-02,Adoption or RTO,1.0
A681368,2014-06-20,Transfer,12.0
A702989,2015-07-02,Transfer,0.0
A803452,2019-09-09,Adoption or RTO,0.0
A687499,2014-09-05,Transfer,0.0
A664004,2013-10-10,Adoption or RTO,0.0
A794137,2019-08-17,Adoption or RTO,1.0
A636542,2016-10-27,Transfer,5.0
A736146,2016-10-10,Adoption or RTO,0.0
A668055,2013-12-18,Transfer,3.0
A598360,2017-05-02,Adoption or RTO,7.0
A772584,2018-05-25,Adoption or RTO,0.0
A706185,2015-06-26,Transfer,1.0
A724892,2016-04-24,Transfer,1.0
A751240,2017-06-12,Adoption or RTO,1.0
A667720,2013-12-22,Adoption or RTO,0.0
A765582,2018-01-28,Transfer,1.0
A717288,2015-12-07,Adoption or RTO,1.0
A790469,2019-04-07,Adoption or RTO,8.0
A665926,2013-11-06,Transfer,0.0
